[67 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 109 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[68 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 108 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[69 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[70 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[71 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[72 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 108 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[73 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[74 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[75 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[76 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[77 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[78 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 106 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[79 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 106 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[80 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[81 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 106 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[82 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 105 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[83 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 106 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[84 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[85 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[86 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[87 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[88 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[89 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[90 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[91 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
[92 s] Phase: Ground, Alt: 7 ft, Speed: 108 kt (GS: 107 kt), Heading: 4°, Bank: 0°, VS: 0 ft/min, Fuel: 4947.4 gal, Dist: 1482 nm, Flaps: 0°, Gear: DOWN, AP: OFF, XPDR: ON [Colombo (CMB) -> Singapore (SIN)]
